,score,label
tgt2_cell0000,0.15054393248260747,0
tgt2_cell0001,0.18161066742660587,0
tgt2_cell0002,0.26439626306446246,0
tgt2_cell0003,0.20969872095663067,0
tgt2_cell0004,0.24601154498199285,0
tgt2_cell0005,0.22885518956286258,0
tgt2_cell0006,0.16817681768145099,0
tgt2_cell0007,0.22709761102051468,0
tgt2_cell0008,0.18417022744170922,0
tgt2_cell0009,0.183880544192052,0
tgt2_cell0010,0.20485836593352286,0
tgt2_cell0011,0.12370347967405243,0
tgt2_cell0012,0.25960830520508293,0
tgt2_cell0013,0.16644551624129453,0
tgt2_cell0014,0.25001347098297305,0
tgt2_cell0015,0.2068160561926559,0
tgt2_cell0016,0.2766016539814398,0
tgt2_cell0017,0.16700152931040896,0
tgt2_cell0018,0.18441025717650414,0
tgt2_cell0019,0.21688845632794132,0
tgt2_cell0020,0.08962644509000979,0
tgt2_cell0021,0.24139607207793687,0
tgt2_cell0022,0.27708151973453093,0
tgt2_cell0023,0.2563403396632514,0
tgt2_cell0024,0.23773848221561256,0
tgt2_cell0025,0.19270110534423882,0
tgt2_cell0026,0.26409511135298563,0
tgt2_cell0027,0.25370153109859717,0
tgt2_cell0028,0.21963104222886357,0
tgt2_cell0029,0.20025571564144914,0
tgt2_cell0030,0.18191165639195386,0
tgt2_cell0031,0.13848839022547776,0
tgt2_cell0032,0.26131146464105753,0
tgt2_cell0033,0.09139780566574092,0
tgt2_cell0034,0.18149263270738425,0
tgt2_cell0035,0.2082190034837334,0
tgt2_cell0036,0.24299405923063686,0
tgt2_cell0037,0.28808306182559057,0
tgt2_cell0038,0.24966618879759056,0
tgt2_cell0039,0.18542392869507807,0
tgt2_cell0040,0.23640637789445715,0
tgt2_cell0041,0.13691998415401518,0
tgt2_cell0042,0.27149692633443534,0
tgt2_cell0043,0.19217623375852974,0
tgt2_cell0044,0.16631204250064713,0
tgt2_cell0045,0.16804699497838976,0
tgt2_cell0046,0.19693193361898137,0
tgt2_cell0047,0.18036075387150285,0
tgt2_cell0048,0.31449549736572896,0
tgt2_cell0049,0.1640909426059702,0
tgt2_cell0050,0.20163038715784853,0
tgt2_cell0051,0.20140249477928196,0
tgt2_cell0052,0.2014136061369869,0
tgt2_cell0053,0.20276729309763547,0
tgt2_cell0054,0.17592185709050254,0
tgt2_cell0055,0.17082962497679405,0
tgt2_cell0056,0.1568919748964358,0
tgt2_cell0057,0.12559126933742049,0
tgt2_cell0058,0.21081534165546062,0
tgt2_cell0059,0.24921881753479383,0
tgt2_cell0060,0.1728457929493686,0
tgt2_cell0061,0.1720692480478108,0
tgt2_cell0062,0.18417585853386764,0
tgt2_cell0063,0.17696801293805478,0
tgt2_cell0064,0.1281865125487528,0
tgt2_cell0065,0.26825540160184597,0
tgt2_cell0066,0.22194999437787333,0
tgt2_cell0067,0.16441524864009838,0
tgt2_cell0068,0.21485858807699257,0
tgt2_cell0069,0.1780771363692134,0
tgt2_cell0070,0.189418128331266,0
tgt2_cell0071,0.21819819157895573,0
tgt2_cell0072,0.24764822459872673,0
tgt2_cell0073,0.2759762064620639,0
tgt2_cell0074,0.2851954724474519,0
tgt2_cell0075,0.18755706462845287,0
tgt2_cell0076,0.17501257044332452,0
tgt2_cell0077,0.2049798750961009,0
tgt2_cell0078,0.20641716061441565,0
tgt2_cell0079,0.16328890537775703,0
tgt2_cell0080,0.16897623558826186,0
tgt2_cell0081,0.24066368602104243,0
tgt2_cell0082,0.2820900506870381,0
tgt2_cell0083,0.18867495758104139,0
tgt2_cell0084,0.16760173945023304,0
tgt2_cell0085,0.1858314396687905,0
tgt2_cell0086,0.1502434320014978,0
tgt2_cell0087,0.18635641151053461,0
tgt2_cell0088,0.22112220707338773,0
tgt2_cell0089,0.19593285192053225,0
tgt2_cell0090,0.2617288798530803,0
tgt2_cell0091,0.20754440161102172,0
tgt2_cell0092,0.2240559763667112,0
tgt2_cell0093,0.19256212337952536,0
tgt2_cell0094,0.26578328532801776,0
tgt2_cell0095,0.13888271988967144,0
tgt2_cell0096,0.18482043298498854,0
tgt2_cell0097,0.14131556621599045,0
tgt2_cell0098,0.2413136753505844,0
tgt2_cell0099,0.24251611448115123,0
tgt2_cell0100,0.17421162034933665,0
tgt2_cell0101,0.2829056659151744,0
tgt2_cell0102,0.1851368702180373,0
tgt2_cell0103,0.1308311440025814,0
tgt2_cell0104,0.18593977475819112,0
tgt2_cell0105,0.21800102549705377,0
tgt2_cell0106,0.18828039925364654,0
tgt2_cell0107,0.31327602999336046,0
tgt2_cell0108,0.24276933253899702,0
tgt2_cell0109,0.28656397193614147,0
tgt2_cell0110,0.26929427215454715,0
tgt2_cell0111,0.11571076608156217,0
tgt2_cell0112,0.18111206966674254,0
tgt2_cell0113,0.06357571565635772,0
tgt2_cell0114,0.16768016320465204,0
tgt2_cell0115,0.25575521278918567,0
tgt2_cell0116,0.15783944520302862,0
tgt2_cell0117,0.16816557810169108,0
tgt2_cell0118,0.21630670837631816,0
tgt2_cell0119,0.23936582505951692,0
tgt2_cell0120,0.1821843307933973,0
tgt2_cell0121,0.1872093912279927,0
tgt2_cell0122,0.24044908512513216,0
tgt2_cell0123,0.21270293424320866,0
tgt2_cell0124,0.1857356614443048,0
tgt2_cell0125,0.21572517461274443,0
tgt2_cell0126,0.20380607540751777,0
tgt2_cell0127,0.21273164617494866,0
tgt2_cell0128,0.3000615590901331,0
tgt2_cell0129,0.1847396038162306,0
tgt2_cell0130,0.17301185710267708,0
tgt2_cell0131,0.27068153970548803,0
tgt2_cell0132,0.1647149677960705,0
tgt2_cell0133,0.28599447378386245,0
tgt2_cell0134,0.1902901096894021,0
tgt2_cell0135,0.20369197590221344,0
tgt2_cell0136,0.23668141405704357,0
tgt2_cell0137,0.26065548477065503,0
tgt2_cell0138,0.24984993258339472,0
tgt2_cell0139,0.189818232237212,0
tgt2_cell0140,0.18167855822510776,0
tgt2_cell0141,0.21737363230274925,0
tgt2_cell0142,0.20673595361156796,0
tgt2_cell0143,0.16788634463848173,0
tgt2_cell0144,0.2205364037420252,0
tgt2_cell0145,0.24970598100807373,0
tgt2_cell0146,0.2083253352486933,0
tgt2_cell0147,0.27819998585254874,0
tgt2_cell0148,0.22051510646372083,0
tgt2_cell0149,0.19220934995968667,0
tgt2_cell0150,0.20501074449657095,0
tgt2_cell0151,0.1719945066415871,0
tgt2_cell0152,0.14843510159365034,0
tgt2_cell0153,0.22382642556665056,0
tgt2_cell0154,0.1573374841219537,0
tgt2_cell0155,0.1820854013835099,0
tgt2_cell0156,0.19553999731475258,0
tgt2_cell0157,0.2192552087091204,0
tgt2_cell0158,0.2230580993305465,0
tgt2_cell0159,0.20271117714138812,0
tgt2_cell0160,0.103434617297596,0
tgt2_cell0161,0.189670365082996,0
tgt2_cell0162,0.16122302950464454,0
tgt2_cell0163,0.19443262239669848,0
tgt2_cell0164,0.2495663081335343,0
tgt2_cell0165,0.24024121456374098,0
tgt2_cell0166,0.2110165134027664,0
tgt2_cell0167,0.22528798987063053,0
tgt2_cell0168,0.12557958996326452,0
tgt2_cell0169,0.20974337328461387,0
tgt2_cell0170,0.23122553894744804,0
tgt2_cell0171,0.16469363569566073,0
tgt2_cell0172,0.22024938009545583,0
tgt2_cell0173,0.18095868743454827,0
tgt2_cell0174,0.2500253375678361,0
tgt2_cell0175,0.25542093930309484,0
tgt2_cell0176,0.17326084531714786,0
tgt2_cell0177,0.2731461294572432,0
tgt2_cell0178,0.19049598516172672,0
tgt2_cell0179,0.30309722790835675,0
tgt2_cell0180,0.17542228925679265,0
tgt2_cell0181,0.2031878157020276,0
tgt2_cell0182,0.21065947091253437,0
tgt2_cell0183,0.16246019760670188,0
tgt2_cell0184,0.1137310235864468,0
tgt2_cell0185,0.16001980266437266,0
tgt2_cell0186,0.25398028347195917,0
tgt2_cell0187,0.1835666696236608,0
